"V1" "V2" "V3" "V4"
1935 5 1.8 115.2
1935 6 10.2 43.1
1935 7 10.5 89.1
1935 8 9.1 141.4
1935 9 7.6 72.1
1935 10 3.5 193.6
1935 11 -1.6 124.1
1935 12 -6.5 96
1936 1 -3.9 68.1
1936 2 -6.9 58.8
1936 3 -3.3 59.6
1936 4 -0.3 77
1936 5 4.9 82
1936 6 7.9 75.1
1936 7 9.7 156.3
1936 8 9.9 46.9
1936 9 7.9 64.7
1936 10 -0.2 12
1936 11 -2.6 39.9
1936 12 -5.9 97.8
1937 1 -6.7 28.2
1937 2 -4.5 72.3
1937 3 -4.8 158.6
1937 4 -0.3 44.8
1937 5 5.7 81.9
1937 6 9.5 102.4
1937 7 10.8 119
1937 8 9.7 93.6
1937 9 6.7 212.2
1937 10 3.5 172.8
1937 11 -2.6 27.1
1937 12 -8.2 91.2
1938 1 -7.7 25.6
1938 2 -8.1 10.1
1938 3 -1.9 16.3
1938 4 -2.7 16
1938 5 3 76.4
1938 6 10 121.1
1938 7 10 129
1938 8 9.9 118.1
1938 9 7 68.6
1938 10 3.1 50.4
1938 11 -0.7 51.6
1938 12 -5.9 62.2
1939 1 -5.4 76.5
1939 2 -5.4 12.4
1939 3 -7.1 20.3
1939 4 1.2 99.6
1939 5 2.5 123.1
1939 6 8.2 116.7
1939 7 8.9 177.2
1939 8 9.9 105.3
1939 9 6.8 57.7
1939 10 1.9 159.2
1939 11 -0.7 109.1
1939 12 -7.2 35.7
1940 1 -9.7 24.7
1940 2 -7.1 41.7
1940 3 -4.6 48.2
1940 4 -0.7 40
1940 5 4.3 133.5
1940 6 7.5 91.7
1940 7 9.3 166.8
1940 8 9.8 29.5
1940 9 7.6 93.3
1940 10 3.2 69.2
1940 11 -1.5 127.3
1940 12 -10.2 21.1
1941 1 -9.1 33.4
1941 2 -7.3 43.5
1941 3 -4.5 101.2
1941 4 -1.2 137
1941 5 1.6 109.9
1941 6 9.1 76.8
1941 7 11.1 76.8
1941 8 9.1 98.1
1941 9 6.6 36.9
1941 10 2.2 13.1
1941 11 -3.3 75.8
1941 12 -6.8 14
1942 1 -11.2 12.4
1942 2 -9.1 20.1
1942 3 -1.2 1.8
1942 4 0.2 43.5
1942 5 5.3 37.6
1942 6 9 109.4
1942 7 10.4 75.3
1942 8 10 150.7
1942 9 8.8 154.3
1942 10 5.3 125.2
1942 11 -2.6 46.1
1942 12 -4.8 37.3
1943 1 -7.7 22
1943 2 -6.5 18.7
1943 3 -2.3 35.5
1943 4 1.4 24.6
1943 5 6 102.9
