Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
2013     11               -1.4               44.0  
2013     12               -3.9               59.3  
2014      1               -5.7              126.0  
2014      2               -4.8               96.5  
2014      3               -1.8               49.0  
2014      4                2.1               39.6  
2014      5                5.2               66.9  
2014      6                9.7              114.3  
2014      7               10.6              131.6  
2014      8                9.7              158.1  
2014      9                8.1               50.7  
2014     10                5.3              109.4  
2014     11                1.1              241.1  
2014     12               -2.8               29.4  
2015      1               -5.0               80.8  
2015      2               -7.2               30.1  
2015      3               -1.6               24.9  
2015      4                2.0               21.4  
2015      5                6.6              150.5  
2015      6               10.6               85.9  
2015      7               14.8               98.6  
2015      8               12.4              103.9  
2015      9                6.7              186.9  
2015     10                3.4               91.2  
2015     11                1.0                1.5  
2015     12               -1.7                2.3  
2016      1               -6.0               49.6  
2016      2               -3.7               56.2  
2016      3               -3.7               53.6  
2016      4                1.9              113.6  
2016      5                4.9              130.1  
2016      6                9.5              155.6  
2016      7               12.2              126.2  
2016      8               11.6               96.5  
2016      9                9.4               19.4  
2016     10                2.9               64.5  
2016     11               -1.2               73.8  
2016     12               -2.9                0.5  
2017      1               -9.4               16.2  
2017      2               -4.0               45.8  
2017      3                0.5               31.6  
2017      4                1.9               55.2  
2017      5                6.7               63.8  
2017      6               11.7              195.7  
2017      7               12.1               94.7  
