Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.08.2017


Year  Month        Temperature      Precipitation  
1895      4                1.1               45.5  
1895      5                4.0               79.5  
1895      6                8.1               93.4  
1895      7               11.3              104.8  
1895      8                9.5              102.8  
1895      9                9.7               14.2  
1895     10                2.5               89.9  
1895     11                0.5               88.7  
1895     12               -5.2               48.1  
1896      1               -7.8               21.9  
1896      2               -5.5               17.9  
1896      3               -1.8               48.7  
1896      4               -1.9               52.1  
1896      5                3.4               41.5  
1896      6                8.3               97.7  
1896      7               10.7              200.3  
1896      8                7.5              195.6  
1896      9                6.5              161.7  
1896     10                2.0              335.3  
1896     11               -4.5               83.8  
1896     12               -6.4              116.5  
1897      1               -7.6               61.2  
1897      2               -3.3               20.4  
1897      3               -1.9               74.3  
1897      4                0.3               51.8  
1897      5                3.2               87.5  
1897      6                9.8               73.5  
1897      7               11.0               99.3  
1897      8               10.4              124.6  
1897      9                6.4              213.2  
1897     10                2.0               14.8  
1897     11               -1.2                9.0  
1897     12               -6.3               65.3  
1898      1               -5.0               21.5  
1898      2               -6.4               66.1  
1898      3               -3.6              184.7  
1898      4                0.4              114.7  
1898      5                3.4              188.9  
1898      6                7.3              190.7  
1898      7                9.5               57.1  
1898      8               11.7               80.2  
1898      9                9.0                4.5  
1898     10                4.5              128.2  
1898     11                0.8              223.6  
1898     12               -6.1               10.7  
1899      1               -4.7              111.1  
1899      2               -5.9               10.5  
1899      3               -3.9               22.3  
1899      4               -0.4              126.3  
1899      5                3.9               82.9  
1899      6                8.5               54.9  
1899      7               10.6               71.7  
1899      8               11.1               51.0  
1899      9                7.0              112.3  
1899     10                4.3               10.3  
1899     11                0.1                2.4  
